feature,importance
std_iat,0.15455636407519543
seq_iat_01,0.15240317905087392
duration_s,0.15121941663083815
seq_iat_02,0.1473933521891093
mean_iat_up,0.0832969969621829
mean_pkt_sz_up,0.05005935345223577
byte_ratio_up,0.047857023475501304
seq_size_02,0.0476088327793227
mean_pkt_sz,0.04724429545926923
std_pkt_sz,0.04691776654129107
total_bytes,0.046664763354515935
seq_dir_02,0.008451191511092518
pkt_ratio_up,0.00478161538344076
pkts_up,0.0043990439654626986
seq_size_00,0.0026489294406179197
max_pkt_sz,0.0013689801917633223
min_pkt_sz,0.001254076268429043
seq_size_01,0.0009613720033231212
std_iat_down,0.0003813473806163516
seq_dir_01,0.0003618991569879328
seq_dir_00,0.00017020072793058334
total_pkts,0.0
std_iat_up,0.0
seq_iat_00,0.0
